,Player_Name,Country,Overs,Maidens,Runs,Wickets,Economy,Inns,Opposition,Ground,Start_Date
6448,Zahoor Khan,UAE,4.0,0,30,2,7.5,2,Hong Kong,Mulpani,2 Nov 2023
6449,S Lamichhane,NEP,4.0,0,30,2,7.5,2,Oman,Kirtipur,5 Nov 2023
6450,Karan KC,NEP,2.0,0,30,2,15,2,Oman,Kirtipur,5 Nov 2023
6451,SO Ngoche,KENYA,3.0,0,30,2,10,1,Zimbabwe,Windhoek,30 Nov 2023
6452,T Sangha,AUS,4.0,0,30,2,7.5,1,India,Raipur,1 Dec 2023
6453,BJ Dwarshuis,AUS,4.0,0,30,2,7.5,1,India,Bengaluru,3 Dec 2023
6454,TS Mills,ENG,4.0,0,30,2,7.5,1,West Indies,St George's,14 Dec 2023
6455,PVD Chameera,SL,4.0,0,30,2,7.5,2,Zimbabwe,Colombo (RPS),16 Jan 2024
6456,MJ Henry,NZ,4.0,0,30,2,7.5,1,Pakistan,Christchurch,21 Jan 2024
6457,Azmatullah Omarzai,AFG,4.0,0,30,2,7.5,1,Sri Lanka,Dambulla,17 Feb 2024
6458,RK Paudel,NEP,4.0,0,30,2,7.5,1,Namibia,Kirtipur,27 Feb 2024
6459,SN Netravalkar,USA,4.0,0,30,2,7.5,1,Canada,Prairie View,7 Apr 2024
6460,Aizaz Khan,HKG,4.0,0,30,2,7.5,1,Malaysia,Al Amerat,17 Apr 2024
6461,Muhammad Farooq,UAE,4.0,0,30,2,7.5,2,Oman,Al Amerat,21 Apr 2024
6462,Usman Khan,Fran,4.0,0,30,2,7.5,2,Malta,Dreux,9 May 2024
6463,J Shaju,MLT,4.0,0,30,2,7.5,1,France,Dreux,9 May 2024
6464,Abduljabar Jabarkhail,BEL,4.0,0,30,2,7.5,1,Austria,Lower Austria,25 May 2024
6465,Harry Johnson,GUE,4.0,0,30,2,7.5,1,Belgium,Waterloo,8 Jun 2024
6466,Muhammad Moiz,ROM,3.4,0,30,2,8.18,1,Austria,Rome,9 Jun 2024
6467,Aqib Iqbal,AUT,4.0,0,30,2,7.5,2,Romania,Rome,9 Jun 2024
6468,P Malav,LUX,4.0,0,30,2,7.5,1,France,Rome,13 Jun 2024
6469,Taskin Ahmed,BAN,4.0,0,30,2,7.5,2,Netherlands,Kingstown,13 Jun 2024
6470,T Kahamker,ISR,4.0,0,30,2,7.5,1,Luxembourg,Spinaceto,16 Jun 2024
6471,M Cope,LUX,4.0,0,30,2,7.5,2,Israel,Spinaceto,16 Jun 2024
6472,Arshdeep Singh,IND,4.0,0,30,2,7.5,2,Bangladesh,North Sound,22 Jun 2024
6473,S Tosic,SRB,4.0,0,30,2,7.5,2,Slovenia,Ljubljana,30 Jun 2024
6474,LN Oluoch,KENYA,4.0,0,30,2,7.5,2,Malawi,Nairobi,4 Jul 2024
6475,Khalid Zahid,SWE,4.0,0,30,2,7.5,1,Slovenia,Krefeld,13 Jul 2024
6476,AR Patel,IND,4.0,0,30,2,7.5,1,Sri Lanka,Pallekele,28 Jul 2024
6477,OE Taylor,COK,3.0,0,30,2,10,1,Vanuatu,Apia (No 2),17 Aug 2024
6478,OEG Baartman,SA,4.0,0,30,2,7.5,2,West Indies,Tarouba,23 Aug 2024
6479,DT Doram,NED,4.0,0,30,2,7.5,2,U.S.A.,The Hague,28 Aug 2024
6480,L Erdenebulgan,MNG,4.0,0,30,2,7.5,1,Kuwait,Kuala Lumpur,30 Aug 2024
6481,R Kalimuthu,SGP,4.0,0,30,2,7.5,2,Maldives,Kuala Lumpur,31 Aug 2024
6482,E Rukiriza,RWN,4.0,0,30,2,7.5,2,Malawi,Blantyre,12 Oct 2024
6483,M Chadha,CAM,4.0,0,30,2,7.5,1,Thailand,Doha,20 Nov 2024
6484,M Jele,SWZ,3.0,0,30,2,10,1,Botswana,Abuja,23 Nov 2024
6485,GE Ngegba,SLE,4.0,0,30,2,7.5,2,Botswana,Abuja,24 Nov 2024
6486,Muhammad Jabir,QAT,4.0,0,30,2,7.5,2,Bahrain,Doha,25 Nov 2024
6487,Usman Najeeb,KSA,4.0,0,30,2,7.5,1,Cambodia,Doha,25 Nov 2024
6488,Jahandad Khan,PAK,2.5,0,30,2,10.58,2,Zimbabwe,Bulawayo,5 Dec 2024
6489,M Akayezu,RWN,4.0,0,30,2,7.5,1,Uganda,Rwanda,7 Dec 2024
6490,Abbas Afridi,PAK,4.0,0,30,2,7.5,1,South Africa,Durban,10 Dec 2024
6491,Mujeeb Ur Rahman,AFG,4.0,0,30,2,7.5,2,Zimbabwe,Harare,13 Dec 2024
6492,Mohamed Shafeeq,KUW,4.0,0,30,2,7.5,1,Bahrain,ICCA Dubai,14 Dec 2024
6493,T Gwandu,ZIM,4.0,0,30,2,7.5,2,Afghanistan,Harare,14 Dec 2024
6494,OC McCoy,WI,4.0,0,30,2,7.5,1,Bangladesh,Kingstown,15 Dec 2024
6495,GG Banner,Blz,4.0,0,30,2,7.5,2,Suriname,Buenos Aires,16 Dec 2024
6496,R Shepherd,WI,4.0,0,30,2,7.5,1,Bangladesh,Kingstown,19 Dec 2024
6497,Taskin Ahmed,BAN,3.4,0,30,2,8.18,2,West Indies,Kingstown,19 Dec 2024
6498,S Sarthak,BHR,4.0,0,30,2,7.5,1,Singapore,Singapore,2 Mar 2025
6499,Qamar Mushtaque,NOR,3.1,0,30,2,9.47,2,Portugal,Albergaria,7 Apr 2025
6500,Qamar Mushtaque,NOR,3.0,0,30,2,10,1,Portugal,Albergaria,9 Apr 2025
6501,Sohel Patel,PAN,4.0,0,30,2,7.5,2,Turks and C.,Panama City,17 Apr 2025
6502,W Ngowhuad,THA,4.0,0,30,2,7.5,1,Saudi Arabia,Kuala Lumpur,24 Apr 2025
6503,V Zimonjic,SRB,4.0,0,30,2,7.5,2,Slovenia,Belgrade,7 Jun 2025
6504,AU Rashid,ENG,4.0,0,30,2,7.5,2,West Indies,Southampton,10 Jun 2025
6505,M Taylor,BHM,4.0,0,30,2,7.5,1,Canada,King City (NE),12 Jun 2025
