,Player_Name,Country,Runs,Not_Out,BF,Fours,Sixes,SR,Inns,Opposition,Ground,Start_Date
7279,Isa Zaroo,BUL,27,0,19,5,0,142.1,1,Serbia,Episkopi,1 Nov 2025
7280,TB Robinson,NZ,27,0,21,4,1,128.57,2,West Indies,Auckland,5 Nov 2025
7281,Nyein Cham Soe,MYAN,27,0,28,3,0,96.42,1,Indonesia,Bali,13 Nov 2025
7282,P Kurup,BHR,27,0,21,2,1,128.57,2,Indonesia,Bali,21 Nov 2025
7283,Saim Ayub,PAK,27,0,18,4,1,150,2,Sri Lanka,Rawalpindi,27 Nov 2025
7284,Mohammad Nawaz,3,27,0,16,1,2,168.75,2,Sri Lanka,Rawalpindi,27 Nov 2025
7285,LF Muller,BRA,27,0,26,3,0,103.84,2,Argentina,Buenos Aires,30 Nov 2025
7286,I Danladi,NGA,27,0,21,2,0,128.57,1,Zambia,Abuja,4 Dec 2025
7287,P Kurup,BHR,27,0,25,5,0,108,1,Bhutan,Gelephu,9 Dec 2025
7288,Aslan Jafri,SGP,27,0,19,0,3,142.1,1,Thailand,Bangkok,11 Dec 2025
7289,JM Sharma,IND,27,0,17,2,2,158.82,2,South Africa,New Chandigarh,11 Dec 2025
7290,Rohit Limbu,BHU,27,0,31,3,1,87.09,2,Bahrain,Gelephu,12 Dec 2025
7291,Hamza Khan,RWN,27,0,21,1,3,128.57,2,Nigeria,Abuja,14 Dec 2025
7292,Namgay Thinley,BHU,27,0,22,2,1,122.72,1,Myanmar,Gelephu,26 Dec 2025
7293,J Charles,WI,27,0,16,3,2,168.75,2,Afghanistan,Dubai (DICS),19 Jan 2026
7294,MW Forde,WI,27,0,11,2,2,245.45,1,Afghanistan,Dubai (DICS),22 Jan 2026
7295,LJ Tucker,IRE,27,0,22,0,2,122.72,1,Italy,Dubai,25 Jan 2026
7296,MJ Santner,NZ,27,0,17,3,1,158.82,1,India,Guwahati,25 Jan 2026
7297,BA King,WI,27,0,16,5,1,168.75,1,South Africa,Paarl,27 Jan 2026
7298,MW Short,AUS,27,0,23,3,0,117.39,2,Pakistan,Lahore,31 Jan 2026
7299,Rahmanullah Gurbaz,AFG,27,0,22,2,1,122.72,1,New Zealand,Chennai,8 Feb 2026
7300,Wasim Ali,OMA,27,0,20,0,3,135,2,Sri Lanka,Pallekele,12 Feb 2026
7301,Aarif Sheikh,NEP,27,0,24,3,0,112.5,1,Italy,Wankhede,12 Feb 2026
7302,S Dube,IND,27,0,17,3,1,158.82,1,Pakistan,Colombo (RPS),15 Feb 2026
7303,JP Inglis,AUS,27,0,22,3,0,122.72,1,Sri Lanka,Pallekele,16 Feb 2026
7304,HG Munsey,SCOT,27,0,29,4,0,93.1,1,Nepal,Wankhede,17 Feb 2026
7305,Sikandar Raza,ZIM,27,0,20,2,2,135,2,West Indies,Wankhede,23 Feb 2026
7306,Babar Hayat,HKG,27,0,22,1,2,122.72,1,Kuwait,Mong Kok,26 Feb 2026
7307,SO Hetmyer,WI,27,0,12,1,2,225,1,India,Eden Gardens,1 Mar 2026
7308,NT Tilak Varma,IND,27,0,15,4,1,180,2,West Indies,Eden Gardens,1 Mar 2026
7309,HH Pandya,IND,27,0,12,3,2,225,1,England,Wankhede,5 Mar 2026
7310,NS Dhaliwal,CAN,26,1,11,0,3,236.36,1,Philippines,Al Amerat,18 Feb 2022
7311,A Kheterpal,HUN,26,1,21,2,0,123.8,2,Malta,Marsa,10 May 2022
7312,V Saini,ROM,26,1,12,4,0,216.66,1,Malta,Marsa,11 May 2022
7313,MS Wade,AUS,26,1,26,2,0,100,2,Sri Lanka,Colombo (RPS),8 Jun 2022
7314,S Muniandy,MAS,26,1,9,0,3,288.88,2,Singapore,Singapore,30 Jun 2022
7315,SA Mohandas,HUN,26,1,20,2,0,130,1,Gibraltar,Waterloo,1 Jul 2022
7316,Omid Mailk Khel,BEL,26,1,26,0,1,100,1,Portugal,Waterloo,2 Jul 2022
7317,Zubaidi Zulkifle,MAS,26,1,10,1,3,260,2,Maldives,Bangi,6 Jul 2022
7318,CJ Jordan,ENG,26,1,17,2,1,152.94,2,India,Southampton,7 Jul 2022
7319,Ilyas Ataullah,TKY,26,1,18,3,1,144.44,2,Romania,Kerava,12 Jul 2022
7320,SA Edwards,NED,26,1,25,1,0,104,2,U.S.A.,Bulawayo,15 Jul 2022
7321,SA Edwards,NED,26,1,20,2,1,130,1,New Zealand,The Hague,5 Aug 2022
7322,Zeeshan Ali,HKG,26,1,17,2,1,152.94,2,India,Dubai (DICS),31 Aug 2022
7323,S Singh,KENYA,26,1,10,4,1,260,2,Cameroon,Benoni,19 Sep 2022
7324,Akhil Anil,TAN,26,1,19,4,0,136.84,1,Uganda,Benoni,22 Sep 2022
7325,BM Duckett,ENG,26,1,16,4,0,162.5,2,Pakistan,Lahore,30 Sep 2022
7326,JDS Neesham,NZ,26,1,13,0,2,200,1,Australia,Sydney,22 Oct 2022
7327,Anik Ahmed,ITA,26,1,27,1,0,96.29,1,Spain,Almeria,5 Nov 2022
7328,AP Rajeevan,TAN,26,1,22,2,1,118.18,2,Sierra Leone,Rwanda,1 Dec 2022
