,Player,Matches,Innings,Not_Out,Runs,Highest_Score,Average,Balls_Faced,SR,Hundreds,Fifties,Zeros,Fours,Sixes,Player_Name,Country
670,J Masquater (TAN),6,6,0,74,32,12.33,105,70.47,0,0,1,9,2,J Masquater,TAN
671,D Muhumuza (UGA),4,4,1,74,50*,24.66,80,92.5,0,1,0,5,2,D Muhumuza,UGA
672,AT Nidamanuru (NED),6,6,0,74,36,12.33,63,117.46,0,0,2,5,5,AT Nidamanuru,NED
673,Saad Khan (KSA),6,6,0,74,27,12.33,88,84.09,0,0,0,8,2,Saad Khan,KSA
674,Saber Zakhil (BEL),2,2,1,74,51,74,32,231.25,0,1,0,1,8,Saber Zakhil,BEL
675,Sapan Mehta (FIN),5,5,0,74,33,14.8,82,90.24,0,0,0,3,0,Sapan Mehta,FIN
676,Yogev Nagavkar (ISR),4,4,0,74,39,18.5,100,74,0,0,1,8,0,Yogev Nagavkar,ISR
677,J Andrew (WI),4,4,0,73,35,18.25,69,105.79,0,0,0,5,4,J Andrew,WI
678,M Fontaine (HUN),3,3,1,73,49*,36.5,52,140.38,0,0,0,5,4,M Fontaine,HUN
679,D Nanda (INA),4,4,2,73,31,36.5,63,115.87,0,0,0,6,2,D Nanda,INA
680,AA Obanda (KENYA),8,8,0,73,21,9.12,80,91.25,0,0,1,10,2,AA Obanda,KENYA
681,Kim Daeyeon (SKOR),6,6,0,72,29,12,83,86.74,0,0,1,5,2,Kim Daeyeon,SKOR
682,T Tshose (BOT),3,3,0,72,60,24,40,180,0,1,1,8,2,T Tshose,BOT
683,Abdul Stanikzai (GER),5,5,0,71,24,14.2,88,80.68,0,0,1,4,3,Abdul Stanikzai,GER
684,O Casasola (Blz),7,7,0,71,25,10.14,120,59.16,0,0,1,6,0,O Casasola,Blz
685,G Chaturvedi (MLT),8,8,0,71,33,8.87,73,97.26,0,0,1,9,2,G Chaturvedi,MLT
686,Scott Austin (CYP),5,5,0,71,18,14.2,83,85.54,0,0,0,6,1,Scott Austin,CYP
687,JJ Atkinson (HKG),7,7,1,70,20,11.66,71,98.59,0,0,0,7,2,JJ Atkinson,HKG
688,A Kirschbaum (Arg),4,4,1,70,20,23.33,63,111.11,0,0,0,6,1,A Kirschbaum,Arg
689,H Lin Oo (MYAN),8,8,1,70,21*,10,74,94.59,0,0,2,8,1,H Lin Oo,MYAN
690,P Manning (CAY),5,5,0,70,31,14,93,75.26,0,0,1,6,1,P Manning,CAY
691,BBJL Perera (ITA),4,4,1,70,23*,23.33,70,100,0,0,0,6,3,BBJL Perera,ITA
692,A Saud (NEP),3,3,0,70,35,23.33,63,111.11,0,0,0,7,4,A Saud,NEP
693,K Sonavale (OMA),5,5,0,70,20,14,67,104.47,0,0,0,8,1,K Sonavale,OMA
694,W Boshoff (SWE),4,3,0,69,40,23,77,89.61,0,0,0,4,2,W Boshoff,SWE
695,ARA Chambers (POR),4,4,0,69,36,17.25,86,80.23,0,0,0,9,0,ARA Chambers,POR
696,J Linton (CAY),3,3,0,69,40,23,89,77.52,0,0,0,2,2,J Linton,CAY
697,Shamsullah Ehsan (TKY),7,7,0,69,39,9.85,91,75.82,0,0,1,7,0,Shamsullah Ehsan,TKY
698,J Daley (),2,2,1,68,56*,68,49,138.77,0,1,0,7,1,J Daley,
699,Darwish Rasooli (AFG),2,2,0,68,66,34,43,158.13,0,1,0,6,4,Darwish Rasooli,AFG
700,Firas Hussain (BUL),4,4,1,68,40*,22.66,70,97.14,0,0,1,7,1,Firas Hussain,BUL
701,Rohan Mustafa (UAE),2,2,0,68,49,34,55,123.63,0,0,0,5,2,Rohan Mustafa,UAE
702,Aizaz Khan (HKG),6,6,1,67,21*,13.4,65,103.07,0,0,0,8,0,Aizaz Khan,HKG
703,TLW Cooper (NED),2,2,0,67,35,33.5,48,139.58,0,0,0,4,3,TLW Cooper,NED
704,E Mathew (MLT),5,5,0,67,46,13.4,64,104.68,0,0,0,2,3,E Mathew,MLT
705,A McKnight (),2,2,0,67,40,33.5,74,90.54,0,0,0,6,2,A McKnight,
706,Mudassar Muhammad (GER),3,3,0,67,34,22.33,54,124.07,0,0,1,8,2,Mudassar Muhammad,GER
707,Muhammad Zafar Khan (TAN),5,5,2,67,24,22.33,55,121.81,0,0,0,15,0,Muhammad Zafar Khan,TAN
708,C Webster (IOM),2,2,1,67,59*,67,56,119.64,0,1,0,3,2,C Webster,IOM
709,Meet Ahir (PAN),3,3,1,66,43*,33,65,101.53,0,0,0,5,2,Meet Ahir,PAN
710,WSLK Narayana (ISR),4,4,0,66,32,16.5,53,124.52,0,0,0,10,1,WSLK Narayana,ISR
711,Sajid Khan Afridi (GRC),4,4,0,66,31,16.5,53,124.52,0,0,0,4,4,Sajid Khan Afridi,GRC
712,G Schachat (ISR),1,1,0,66,66,66,53,124.52,0,1,0,6,2,G Schachat,ISR
713,C Forbes (SWZ),6,6,0,65,26,10.83,89,73.03,0,0,1,8,1,C Forbes,SWZ
714,AE Paraam (SGP),3,3,0,65,31,21.66,51,127.45,0,0,0,10,0,AE Paraam,SGP
715,Sher Sahak (NOR),5,4,0,65,43,16.25,42,154.76,0,0,0,2,7,Sher Sahak,NOR
716,AWJ Auguste (WI),3,3,1,64,41*,32,41,156.09,0,0,0,6,4,AWJ Auguste,WI
717,C Bogdanos (GRC),2,2,1,64,39*,64,77,83.11,0,0,0,3,0,C Bogdanos,GRC
718,EN Gay (ITA),3,3,0,64,50,21.33,30,213.33,0,1,0,9,2,EN Gay,ITA
719,JS Iggo (SGP),6,6,0,64,31,10.66,79,81.01,0,0,1,4,1,JS Iggo,SGP
