Player,Overs,Maidens,Runs,Wickets,Economy,Inns,Opposition,Ground,Start_Date
MB Tambe,2.0,0,19,5,9.5,1,Estonia,Tallinn,27 Jul 2025
Mohammad Nawaz,4.0,1,19,5,4.75,2,Afghanistan,Sharjah,7 Sep 2025
Mosaddek Hossain,4.0,0,20,5,5,1,Zimbabwe,Harare,31 Jul 2022
N Thushara,4.0,1,20,5,5,2,Bangladesh,Sylhet,9 Mar 2024
LN Oluoch,4.0,0,20,5,5,1,Uganda,Accra,17 Mar 2024
Rizwan Butt,4.0,0,20,5,5,2,Cambodia,Doha,26 Nov 2024
P Nedeljkovic,4.0,0,20,5,5,1,Hungary,Szodliget,30 Aug 2025
R Shepherd,3.0,0,20,5,6.66,2,Scotland,Eden Gardens,7 Feb 2026
D Suzuki,4.0,0,20,5,5,2,Bhutan,Bangkok,27 Feb 2026
Karan KC,3.4,0,21,5,5.72,2,P.N.G.,Kirtipur,31 Mar 2022
Saud Munir,4.0,0,21,5,5.25,1,Norway,Brondby,18 May 2023
AN Lascu,4.0,0,21,5,5.25,1,Portugal,Spinaceto,10 Jun 2024
R Kalimuthu,4.0,0,21,5,5.25,1,Kuwait,Bangi,6 Sep 2024
H Venkataram,4.0,1,21,5,5.25,2,Samoa,Singapore,18 Jul 2025
Zuhaib Zubair,3.3,0,21,5,6,1,Nigeria,Entebbe,21 Jul 2025
Shakib Al Hasan,4.0,0,22,5,5.5,2,Ireland,Chattogram,29 Mar 2023
S Ravichandran,4.0,0,22,5,5.5,1,Hong Kong,Mong Kok,15 Feb 2024
MW Short,3.0,0,22,5,7.33,2,England,Cardiff,13 Sep 2024
JDS Neesham,4.0,0,22,5,5.5,1,Pakistan,Wellington,26 Mar 2025
Rameez Khan,4.0,0,22,5,5.5,2,Czech Rep.,Ilfov County,22 Aug 2025
Jai Sinh,4.0,0,23,5,5.75,1,Luxembourg,Vantaa,31 Jul 2022
Raza Iqbal,3.4,0,23,5,6.27,2,Sweden,Glostrup,18 May 2023
Ghulam Ahmadi,4.0,0,23,5,5.75,1,Belgium,Krefeld,10 Jun 2023
T Shamsi,4.0,0,24,5,6,2,England,Southampton,31 Jul 2022
CV Varun,4.0,0,24,5,6,1,England,Rajkot,28 Jan 2025
GC Murtaza,4.0,0,24,5,6,1,Indonesia,Bali,15 Jun 2025
Ali Nawaz,3.0,0,24,5,8,2,Slovenia,Szodliget,21 Jun 2025
PVD Chameera,4.0,0,24,5,6,1,England,Pallekele,3 Feb 2026
Zaker Taqawi,4.0,0,25,5,6.25,1,Germany,Krefeld,11 Jun 2022
TG Southee,4.0,0,25,5,6.25,2,U.A.E.,Dubai (DICS),17 Aug 2023
Jobayer Hossen,4.0,0,25,5,6.25,1,Rwanda,Nairobi (Ruaraka),24 Oct 2024
IO Okpe,4.0,0,25,5,6.25,2,Zambia,Abuja,8 Dec 2025
AF Milne,4.0,0,26,5,6.5,1,Sri Lanka,Dunedin,5 Apr 2023
GT Main,3.4,0,26,5,7.09,2,Italy,Edinburgh,24 Jul 2023
SH Johnson,4.0,0,26,5,6.5,2,Pakistan,Sydney,16 Nov 2024
JO Holder,2.5,0,27,5,9.52,2,England,Bridgetown,30 Jan 2022
Ishtiaq Ahmad,4.0,0,27,5,6.75,1,Kuwait,Doha,1 Oct 2023
SF Tiai,3.3,0,27,5,7.71,2,Fiji,Apia (No 2),21 Aug 2024
Ibrar Ahmad,3.3,0,27,5,7.71,2,France,Ilfov County,29 Jun 2025
SFS Cheema,3.0,0,27,5,9,1,Romania,Ilfov County,18 Oct 2025
M Koli,4.0,0,28,5,7,1,Hungary,Spinaceto,13 Jun 2024
B Dugic,4.0,0,28,5,7,1,Bulgaria,Episkopi,1 Nov 2025
Aamir Kaleem,4.0,0,29,5,7.25,1,U.A.E.,Al Amerat,14 Feb 2022
R Baaleri,4.0,0,29,5,7.25,2,Gambia,Rwanda,8 Dec 2022
N Tanner,4.0,0,29,5,7.25,1,Indonesia,Bali,13 Jul 2025
WD Parnell,4.0,0,30,5,7.5,2,Ireland,Bristol,5 Aug 2022
D Maisuria,3.4,0,30,5,8.18,1,Lesotho,Kigali,18 Nov 2022
Hasan Ali,3.2,0,30,5,9,2,Bangladesh,Lahore,28 May 2025
Shafat Ali Syed,4.0,0,31,5,7.75,1,Isle of Man,Cartagena,26 Feb 2023
HJ Manenti,4.0,0,31,5,7.75,2,Scotland,The Hague,9 Jul 2025
Amir Farooq,4.0,0,32,5,8,2,Bahrain,Doha,25 Nov 2024
Muhammad Saqlain,4.0,0,32,5,8,1,Austria,Marsa,5 Feb 2025
Umair Tariq,3.5,0,32,5,8.34,2,Switzerland,Latschach,1 Jun 2025
Junaid Siddique,4.0,0,35,5,8.75,1,Canada,Delhi,13 Feb 2026
O Harvey,4.0,0,36,5,9,1,Uganda,Accra,18 Mar 2024
L Ngidi,4.0,0,39,5,9.75,1,England,Bristol,27 Jul 2022
AS Joseph,4.0,0,40,5,10,2,South Africa,Johannesburg,28 Mar 2023
Arshdeep Singh,4.0,0,51,5,12.75,2,New Zealand,Thiruvananthapuram,31 Jan 2026
CPPM Sadun,1.3,0,1,4,0.66,2,Turkey,Vantaa,16 Jul 2022
YM Nkanya,1.3,0,1,4,0.66,1,Sierra Leone,Rwanda,1 Dec 2022
C Bah,2.0,0,2,4,1,1,Cameroon,Benoni,10 Dec 2023
J Yon,4.0,2,3,4,0.75,1,Ivory Coast,Abuja,28 Nov 2024
D Rawat,3.0,1,3,4,1,2,Falkland Isl,Guacima,10 Mar 2025
Mohammad Kamran,4.0,1,4,4,1,1,Isle of Man,Cartagena,26 Feb 2023
H Ssenyondo,4.0,1,4,4,1,1,Botswana,Nairobi (Gym),17 Jun 2023
C Hinze,2.4,1,4,4,1.5,2,Mongolia,Sano,7 May 2024
S Thakor,3.0,1,4,4,1.33,1,Mali,Dar-es-Salaam,21 Sep 2024
R Coker,3.0,0,4,4,1.33,2,Ivory Coast,Abuja,23 Nov 2024
Khalid Ahmadi,4.0,1,5,4,1.25,2,Malta,Waterloo,12 Jun 2022
S Thakor,4.0,1,5,4,1.25,2,Cameroon,Kigali,9 Dec 2022
C Kyewuta,3.0,1,5,4,1.66,2,Tanzania,Rwanda,18 Dec 2022
Vishil Patel,4.0,2,5,4,1.25,1,Mali,Benoni,8 Dec 2023
S Godara,4.0,0,5,4,1.25,2,China,Bangkok,28 Jan 2024
Ehsan Khan,3.0,0,5,4,1.66,1,Mongolia,Kuala Lumpur,31 Aug 2024
Azyan Farhath,4.0,3,5,4,1.25,2,Mongolia,Kuala Lumpur,6 Sep 2024
Virandeep Singh,4.0,1,5,4,1.25,1,Mongolia,Bangi,9 Sep 2024
O Harvey,2.0,0,5,4,2.5,1,Mali,Dar-es-Salaam,26 Sep 2024
Ali Dawood,2.3,1,5,4,2,2,Rwanda,Rwanda,25 Jul 2025
SVE Bharathi,4.0,0,6,4,1.5,1,Philippines,Al Amerat,24 Feb 2022
Atif Mehmood,4.0,2,6,4,1.5,1,Isle of Man,Cartagena,26 Feb 2023
Sami Sohail,4.0,2,6,4,1.5,1,Mozambique,Benoni,28 May 2023
E Sebareme,3.3,0,6,4,1.71,2,Ghana,Lagos,8 Oct 2023
G Sesay,4.0,0,6,4,1.5,1,Botswana,Benoni,15 Dec 2023
Usman Khalid,2.0,0,6,4,3,1,Bhutan,Bangkok,3 Feb 2024
B Ward,3.1,1,6,4,1.89,2,Switzerland,Krefeld,9 Jul 2024
R Baaleri,2.0,0,6,4,3,1,Cameroon,Dar-es-Salaam,21 Sep 2024
LS Barkania,2.1,0,6,4,2.76,1,Cameroon,Dar-es-Salaam,24 Sep 2024
S Murari,3.0,2,6,4,2,2,Falkland Isl,Guacima,10 Mar 2025
D Panda,2.0,0,6,4,3,2,Costa Rica,Panama City,17 Apr 2025
S Vijay Unni,4.0,0,6,4,1.5,1,Singapore,Singapore,19 Jul 2025
JO Holder,3.4,1,7,4,1.9,1,England,Bridgetown,22 Jan 2022
H Ssenyondo,4.0,2,7,4,1.75,2,Rwanda,Rwanda,16 Dec 2022
H Ssenyondo,4.0,1,7,4,1.75,1,Rwanda,Nairobi (Gym),15 Jun 2023
K Namchaikul,4.0,0,7,4,1.75,2,Myanmar,Kuala Lumpur,28 Jul 2023
Nasrulla Rana,4.0,0,7,4,1.75,1,Cambodia,Hangzhou,29 Sep 2023
Haroon Arshad,4.0,1,7,4,1.75,1,China,Mong Kok,16 Feb 2024
D Ganesh,3.0,1,7,4,2.33,1,Mexico,Guacima,11 Apr 2024
A Nortje,4.0,0,7,4,1.75,1,Sri Lanka,New York,3 Jun 2024
Tanzim Hasan Sakib,4.0,2,7,4,1.75,2,Nepal,Kingstown,16 Jun 2024
Raaz Mohammad,3.0,0,7,4,2.33,2,Guernsey,Port Soif,24 Aug 2024
A Morris,4.0,2,7,4,1.75,2,Brazil,Buenos Aires,14 Dec 2024
Kuldeep Yadav,2.1,0,7,4,3.23,1,U.A.E.,Dubai (DICS),10 Sep 2025
Mohammad Nabi,4.0,0,7,4,1.75,2,Canada,Chennai,19 Feb 2026
Sikandar Raza,4.0,1,8,4,2,2,Netherlands,Bulawayo,17 Jul 2022
Shadab Khan,2.4,0,8,4,3,2,Hong Kong,Sharjah,2 Sep 2022
AG Achar,4.0,1,8,4,2,2,Thailand,Hangzhou,29 Sep 2023
PK Langat,3.0,0,8,4,2.66,1,Ghana,Benoni,13 Dec 2023
Virandeep Singh,3.0,0,8,4,2.66,2,P.N.G.,Kuala Lumpur,17 Mar 2024
H Bharadwaj,4.0,2,8,4,2,1,Myanmar,Kuala Lumpur,9 Sep 2024
SZ Vayani,4.0,1,8,4,2,1,Mali,Dar-es-Salaam,24 Sep 2024
Ronitkumar Ahir,4.0,0,8,4,2,2,Turks and C.,Panama City,17 Apr 2025
AF Ifill,4.0,0,8,4,2,2,Bahamas,George Town,24 Apr 2025
Umair Tariq,4.0,1,8,4,2,1,Slovenia,Graz,18 May 2025
GA Priandana,2.0,0,8,4,4,1,Myanmar,Bali,6 Nov 2025
A Gbla,2.0,0,9,4,4.5,1,Ghana,Kigali,5 Dec 2022
H Ssenyondo,3.4,0,9,4,2.45,2,Rwanda,Nairobi (Gym),19 Jun 2023
N Senamontree,2.5,0,9,4,3.17,1,China,Kuala Lumpur,27 Jul 2023
AR Ramjani,3.0,0,9,4,3,2,Rwanda,Rwanda,22 Aug 2023
Azmatullah Omarzai,4.0,0,9,4,2.25,2,Ireland,Sharjah,18 Mar 2024
Jaspreet Singh,3.5,1,9,4,2.34,1,Isle of Man,Spinaceto,12 Jun 2024
Arshdeep Singh,4.0,0,9,4,2.25,1,U.S.A.,New York,12 Jun 2024
Yasim Murtaza,4.0,0,9,4,2.25,1,Malaysia,Kuala Lumpur,23 Aug 2024
Syed Aziz,3.0,0,9,4,3,2,Hong Kong,Kuala Lumpur,7 Sep 2024
D Rawat,4.0,1,9,4,2.25,1,Falkland Isl,Guacima,12 Mar 2025
JJ Smit,4.0,0,9,4,2.25,1,Canada,Windhoek,22 Mar 2025
EC D'Souza,2.5,0,9,4,3.17,2,Nigeria,Entebbe,26 Jul 2025
Abrar Ahmed,4.0,0,9,4,2.25,2,U.A.E.,Sharjah,4 Sep 2025
Nasum Ahmed,4.0,0,10,4,2.5,2,Afghanistan,Mirpur,3 Mar 2022
Noor Ahmad,4.0,0,10,4,2.5,2,Zimbabwe,Harare,14 Jun 2022
A Nortje,3.3,0,10,4,2.85,2,Bangladesh,Sydney,27 Oct 2022
DJ Hooda,2.5,0,10,4,3.52,2,New Zealand,Mount Maunganui,20 Nov 2022
A Conteh,4.0,0,10,4,2.5,2,Cameroon,Kigali,9 Dec 2022
YM Nkanya,3.0,0,10,4,3.33,1,Uganda,Rwanda,18 Dec 2022
DMW Rawlins,4.0,0,10,4,2.5,1,Argentina,Buenos Aires,21 Feb 2023
Virandeep Singh,4.0,0,10,4,2.5,2,Hong Kong,Kuala Lumpur,19 Sep 2023
Aqib Ilyas,4.0,1,10,4,2.5,1,Bahrain,Kirtipur,3 Nov 2023
C Bah,3.0,1,10,4,3.33,1,Mali,Benoni,9 Dec 2023
CJ Jordan,2.5,0,10,4,3.52,1,U.S.A.,Bridgetown,23 Jun 2024
LH Rodrigues,4.0,0,10,4,2.5,2,Mexico,Seropedica,12 Oct 2024
Ronitkumar Ahir,4.0,0,10,4,2.5,2,Mexico,Panama City,19 Apr 2025
Arif Ullah,4.0,0,10,4,2.5,1,Samoa,Singapore,20 Jul 2025
Avishka Iroshan,2.2,0,10,4,4.28,2,Czech Rep.,Ilfov County,21 Aug 2025
JN Loftie-Eaton,4.0,0,10,4,2.5,1,Malawi,Harare,30 Sep 2025
MA Baig,4.0,0,10,4,2.5,2,Botswana,Harare,4 Oct 2025
Baseer Khan,4.0,0,10,4,2.5,1,Romania,Ilfov County,19 Oct 2025
H Lin Oo,2.0,0,10,4,5,2,Timor-Leste,Bali,12 Nov 2025
Muhammad Nadir,3.5,0,10,4,2.6,1,Sierra Leone,Abuja,4 Dec 2025
Khawar Ali,3.2,0,11,4,3.3,1,Philippines,Al Amerat,21 Feb 2022
WP Masakadza,3.0,0,11,4,3.66,2,U.S.A.,Bulawayo,14 Jul 2022
JJ Huo,4.0,2,11,4,2.75,1,Eswatini,Malkerns,30 Jul 2022
DMW Rawlins,4.0,0,11,4,2.75,2,Argentina,Buenos Aires,26 Feb 2023
Shahzeb Choudhry,4.0,0,11,4,2.75,1,Finland,Brondby,20 May 2023
J Kariko,3.5,0,11,4,2.86,1,Malaysia,Kuala Lumpur,23 Sep 2023
OEG Baartman,4.0,0,11,4,2.75,1,Netherlands,New York,8 Jun 2024
Abdullah Akbarjan,3.0,0,11,4,3.66,1,Portugal,Rome,12 Jun 2024
AU Rashid,4.0,0,11,4,2.75,1,Oman,North Sound,13 Jun 2024
D Visser,4.0,1,11,4,2.75,1,Fiji,Apia (No 2),17 Aug 2024
LJ Myott,4.0,1,11,4,2.75,2,Indonesia,Incheon,29 Sep 2024
KDA Lukies,4.0,1,11,4,2.75,2,South Korea,Incheon,5 Oct 2024
Yasir Mohammad,3.3,1,11,4,3.14,1,Bermuda,George Town,21 Apr 2025
AA Rahayu,4.0,0,11,4,2.75,1,Cambodia,Bali,14 Jun 2025
S Lamichhane,4.0,1,11,4,2.75,1,Scotland,Glasgow,17 Jun 2025
Mahedi Hasan,4.0,1,11,4,2.75,1,Sri Lanka,Colombo (RPS),16 Jul 2025
SA Okpe,4.0,0,11,4,2.75,1,Kenya,Entebbe,17 Jul 2025
M Shahbaz Butt,4.0,0,11,4,2.75,2,France,Stockholm,8 Aug 2025
Joshua Asia,4.0,0,11,4,2.75,2,Botswana,Harare,2 Oct 2025
JG Bethell,3.3,0,11,4,3.14,2,Sri Lanka,Pallekele,3 Feb 2026
Ali Dawood,2.5,1,11,4,3.88,1,Bhutan,Bangkok,25 Feb 2026
JR Hazlewood,4.0,0,12,4,3,2,Sri Lanka,Sydney,11 Feb 2022
Abdullah Mahmood,4.0,0,12,4,3,2,Finland,Brondby,8 May 2022
Azyan Farhath,2.5,0,12,4,4.23,2,Thailand,Bangi,8 Jul 2022
AA Gajic,4.0,1,12,4,3,1,Bulgaria,Belgrade,9 Jul 2022
DM Nakrani,4.0,0,12,4,3,1,Hong Kong,Bulawayo,11 Jul 2022
N Nipiko,2.3,0,12,4,4.8,2,Cook Islands,Port vila,15 Sep 2022
IKEG Artawan,3.0,0,12,4,4,1,Japan,Sano,11 Oct 2022
R Baaleri,4.0,1,12,4,3,2,Tanzania,Rwanda,4 Dec 2022
Sarfaraz Ali,3.0,0,12,4,4,2,Qatar,Bangi,18 Dec 2022
Mehidy Hasan Miraz,4.0,0,12,4,3,1,England,Mirpur,12 Mar 2023
Rahmatullah Mangal,3.4,0,12,4,3.27,1,Luxembourg,Marsa,12 Jul 2023
