Player,Runs,Not_Out,BF,Fours,Sixes,SR,Inns,Opposition,Ground,Start_Date
Kamal Soukhiya,2,0,2,0,0,100.0,2,Romania,Szodliget,2025-07-26
P Useni,2,0,3,0,0,66.66,2,U.A.E.,Entebbe,2025-07-26
SA Okpe,2,0,2,0,0,100.0,2,U.A.E.,Entebbe,2025-07-26
Mayank Nagayach,2,0,4,0,0,50.0,2,Austria,Szodliget,2025-07-26
MJ Owen,2,0,5,0,0,40.0,2,West Indies,Basseterre,2025-07-26
Muhammad Burhan,2,0,3,0,0,66.66,1,Luxembourg,Szodliget,2025-07-27
A Halbhavi,2,0,3,0,0,66.66,2,Hungary,Szodliget,2025-07-27
SD Hope,2,0,5,0,0,40.0,2,Pakistan,Lauderhill,2025-07-31
Habib Khan,2,0,4,0,0,50.0,2,Switzerland,Tallinn,2025-08-02
P Gheewala,2,0,8,0,0,25.0,2,Switzerland,Tallinn,2025-08-02
Mohammad Nawaz,2,0,6,0,0,33.33,1,West Indies,Lauderhill,2025-08-02
A Athanaze,2,0,4,0,0,50.0,2,Pakistan,Lauderhill,2025-08-02
Sahil Chauhan,2,0,5,0,0,40.0,2,Switzerland,Tallinn,2025-08-03
Muhammad Usman,2,0,2,0,0,100.0,2,Switzerland,Tallinn,2025-08-03
Mohammad Haris,2,0,2,0,0,100.0,1,West Indies,Lauderhill,2025-08-03
Adnan Shnwarei,2,0,4,0,0,50.0,1,Austria,Stockholm,2025-08-07
Saeed Ahmed,2,0,3,0,0,66.66,1,France,Stockholm,2025-08-07
OSB Tilley,2,0,7,0,0,28.57,1,Cyprus,Zagreb,2025-08-08
M Shahbaz Butt,2,0,6,0,0,33.33,1,France,Stockholm,2025-08-08
L Canessane,2,0,8,0,0,25.0,2,Norway,Stockholm,2025-08-08
S Burdekin,2,0,4,0,0,50.0,1,Croatia,Zagreb,2025-08-08
A Razmilic,2,0,5,0,0,40.0,2,Cyprus,Zagreb,2025-08-08
Saeed Ahmed,2,0,3,0,0,66.66,1,Austria,Stockholm,2025-08-08
L Canessane,2,0,1,0,0,200.0,1,Austria,Stockholm,2025-08-09
A Mundra,2,0,5,0,0,40.0,1,France,Stockholm,2025-08-10
Samarth Shetty,2,0,9,0,0,22.22,1,France,Stockholm,2025-08-10
TM Head,2,0,7,0,0,28.57,1,South Africa,Darwin,2025-08-10
MJ Owen,2,0,4,0,0,50.0,1,South Africa,Darwin,2025-08-10
D Brevis,2,0,6,0,0,33.33,2,Australia,Darwin,2025-08-10
C Bosch,2,0,4,0,0,50.0,2,Australia,Darwin,2025-08-10
Vinay Ravi,2,0,5,0,0,40.0,1,Austria,Stockholm,2025-08-10
Karanbir Singh,2,0,9,0,0,22.22,2,Norway,Stockholm,2025-08-10
Abdul Naser Baluch,2,0,3,0,0,66.66,1,Norway,Oslo,2025-08-17
Samiullah Rahmani,2,0,2,0,0,100.0,1,Hungary,Oslo,2025-08-17
Wahidullah Sahak,2,0,3,0,0,66.66,1,Hungary,Oslo,2025-08-17
Qamar Mushtaque,2,0,2,0,0,100.0,1,Hungary,Oslo,2025-08-17
S Grover,2,0,3,0,0,66.66,1,Romania,Ilfov County,2025-08-21
S Davizi,2,0,3,0,0,66.66,2,Romania,Ilfov County,2025-08-21
Rameez Khan,2,0,3,0,0,66.66,1,Czech Rep.,Ilfov County,2025-08-22
S Jamil,2,0,3,0,0,66.66,1,Austria,Latschach,2025-08-24
JM Polarouthu,2,0,3,0,0,66.66,1,Serbia,Szodliget,2025-08-29
RJ Ainsworth,2,0,4,0,0,50.0,1,Serbia,Szodliget,2025-08-29
S Houghton,2,0,2,0,0,100.0,1,Serbia,Szodliget,2025-08-31
Faheem Nazir,2,0,4,0,0,50.0,1,Guernsey,Castel,2025-08-31
Ahmed Hassan,2,0,5,0,0,40.0,1,Guernsey,Castel,2025-08-31
P Nedeljkovic,2,0,6,0,0,33.33,2,Hungary,Szodliget,2025-08-31
NRJ Croes,2,0,3,0,0,66.66,1,Bangladesh,Sylhet,2025-09-01
Sikander Zulfiqar,2,0,3,0,0,66.66,1,Bangladesh,Sylhet,2025-09-01
Haider Ali,2,0,5,0,0,40.0,2,Afghanistan,Sharjah,2025-09-01
Sikandar Raza,2,0,7,0,0,28.57,2,Sri Lanka,Harare,2025-09-06
JJ Griffin,2,0,3,0,0,66.66,1,Sweden,Tromode,2025-09-06
Saeed Ahmed,2,0,5,0,0,40.0,2,Isle of Man,Tromode,2025-09-06
B Evans,2,0,3,0,0,66.66,1,Sri Lanka,Harare,2025-09-07
Mohammad Haris,2,0,3,0,0,66.66,1,Afghanistan,Sharjah,2025-09-07
Karim Janat,2,0,3,0,0,66.66,1,Hong Kong,Abu Dhabi,2025-09-09
Muhammad Zohaib,2,0,5,0,0,40.0,1,India,Dubai (DICS),2025-09-10
Asif Khan,2,0,7,0,0,28.57,1,India,Dubai (DICS),2025-09-10
H Kaushik,2,0,2,0,0,100.0,1,India,Dubai (DICS),2025-09-10
LG Pretorius,2,0,4,0,0,50.0,1,England,Cardiff,2025-09-10
V Shukla,2,0,4,0,0,50.0,2,Pakistan,Dubai (DICS),2025-09-12
LG Pretorius,2,0,2,0,0,100.0,2,England,Manchester,2025-09-12
MA Algi,2,0,3,0,0,66.66,2,Eswatini,Malkerns,2025-09-13
JJ Smit,2,0,4,0,0,50.0,2,Zimbabwe,Bulawayo,2025-09-15
Asif Khan,2,0,5,0,0,40.0,1,Oman,Abu Dhabi,2025-09-15
Aamir Kaleem,2,0,2,0,0,100.0,2,U.A.E.,Abu Dhabi,2025-09-15
KIC Asalanka,2,0,5,0,0,40.0,2,Hong Kong,Dubai (DICS),2025-09-15
A Busing-Volschenk,2,0,2,0,0,100.0,1,Zimbabwe,Bulawayo,2025-09-16
Muhammad Rohid,2,0,1,0,0,200.0,2,Pakistan,Dubai (DICS),2025-09-17
BJ Bennett,2,0,4,0,0,50.0,2,Namibia,Bulawayo,2025-09-18
PW Hasaranga,2,0,2,0,0,100.0,1,Bangladesh,Dubai (DICS),2025-09-20
C Campher,2,0,3,0,0,66.66,1,England,Dublin (Malahide),2025-09-21
Saim Ayub,2,0,3,0,0,66.66,2,Sri Lanka,Abu Dhabi,2025-09-23
S Dube,2,0,3,0,0,66.66,1,Bangladesh,Dubai (DICS),2025-09-24
Rishad Hossain,2,0,3,0,0,66.66,2,India,Dubai (DICS),2025-09-24
DM Nakrani,2,0,4,0,0,50.0,1,Zimbabwe,Harare,2025-09-26
RP Burl,2,0,5,0,0,40.0,2,Uganda,Harare,2025-09-26
HH Pandya,2,0,3,0,0,66.66,1,Sri Lanka,Dubai (DICS),2025-09-26
JJ Smit,2,0,3,0,0,66.66,1,Nigeria,Harare,2025-09-28
Selim Salau,2,0,5,0,0,40.0,2,Namibia,Harare,2025-09-28
AP Rajeevan,2,0,6,0,0,33.33,1,Uganda,Harare,2025-09-28
Riazat Ali Shah,2,0,4,0,0,50.0,2,Tanzania,Harare,2025-09-28
AR Ramjani,2,0,6,0,0,33.33,2,Tanzania,Harare,2025-09-28
J Baguma,2,0,3,0,0,66.66,2,Tanzania,Harare,2025-09-28
SR Bhudia,2,0,3,0,0,66.66,2,Malawi,Harare,2025-09-28
K Bhurtel,2,0,4,0,0,50.0,1,West Indies,Sharjah,2025-09-29
J Andrew,2,0,11,0,0,18.18,2,Nepal,Sharjah,2025-09-29
N Bidaisee,2,0,5,0,0,40.0,2,Nepal,Sharjah,2025-09-29
Selim Salau,2,0,3,0,0,66.66,1,Kenya,Harare,2025-09-30
S Chilemanya,2,0,3,0,0,66.66,1,Botswana,Harare,2025-10-02
Tanzid Hasan,2,0,7,0,0,28.57,2,Afghanistan,Sharjah,2025-10-03
Parvez Hossain Emon,2,0,5,0,0,40.0,2,Afghanistan,Sharjah,2025-10-03
Rishad Hossain,2,0,2,0,0,100.0,2,Afghanistan,Sharjah,2025-10-03
MP Stoinis,2,0,4,0,0,50.0,2,New Zealand,Mount Maunganui,2025-10-04
K Motlhanka,2,0,6,0,0,33.33,2,Malawi,Harare,2025-10-04
K Piet,2,0,6,0,0,33.33,2,Malawi,Harare,2025-10-04
S Singh,2,0,4,0,0,50.0,1,Tanzania,Harare,2025-10-04
MS Maker,2,0,8,0,0,25.0,2,Kenya,Harare,2025-10-04
SA Jumbe,2,0,3,0,0,66.66,2,Kenya,Harare,2025-10-04
IO Okpe,2,0,6,0,0,33.33,2,Uganda,Harare,2025-10-04
SM Solia,2,0,6,0,0,33.33,1,Oman,Al Amerat,2025-10-08
Aamir Kaleem,2,0,2,0,0,100.0,2,Samoa,Al Amerat,2025-10-08
Aasif Sheikh,2,0,7,0,0,28.57,1,Kuwait,Al Amerat,2025-10-08
Syed Aziz,2,0,7,0,0,28.57,1,Qatar,Al Amerat,2025-10-09
Abhishek Anand,2,0,4,0,0,50.0,2,Kuwait,Al Amerat,2025-10-09
KV Morea,2,0,3,0,0,66.66,1,Samoa,Al Amerat,2025-10-09
J Kariko,2,0,3,0,0,66.66,1,Samoa,Al Amerat,2025-10-09
G Toka,2,0,5,0,0,40.0,2,Oman,Al Amerat,2025-10-10
L Siaka,2,0,6,0,0,33.33,2,Oman,Al Amerat,2025-10-10
HGV Vare,2,0,4,0,0,50.0,2,Oman,Al Amerat,2025-10-10
H Kaushik,2,0,5,0,0,40.0,2,Nepal,Al Amerat,2025-10-12
F Suluoto,2,0,6,0,0,33.33,2,Japan,Al Amerat,2025-10-12
Mohammad Aadil Alam,2,0,5,0,0,40.0,1,Qatar,Al Amerat,2025-10-13
MM Baig,2,0,3,0,0,66.66,2,Nepal,Al Amerat,2025-10-13
Shahzaib Jamil,2,0,4,0,0,50.0,2,Nepal,Al Amerat,2025-10-13
Shahzaib Jamil,2,0,7,0,0,28.57,2,Japan,Al Amerat,2025-10-15
DS Airee,2,0,5,0,0,40.0,1,Oman,Al Amerat,2025-10-15
C Hinze,2,0,3,0,0,66.66,1,U.A.E.,Al Amerat,2025-10-16
I Takahashi,2,0,5,0,0,40.0,1,U.A.E.,Al Amerat,2025-10-16
S Sugaya-Slater,2,0,8,0,0,25.0,1,U.A.E.,Al Amerat,2025-10-16
Aqib Iqbal,2,0,3,0,0,66.66,1,Romania,Ilfov County,2025-10-19
MG Bracewell,2,0,5,0,0,40.0,2,England,Christchurch,2025-10-20
TB Robinson,2,0,4,0,0,50.0,1,England,Auckland,2025-10-23
Salman Agha,2,0,7,0,0,28.57,2,South Africa,Rawalpindi,2025-10-28
Nasum Ahmed,2,0,3,0,0,66.66,2,West Indies,Chattogram,2025-10-29
Rizwan Mangera,2,0,6,0,0,33.33,1,Mexico,Itaguai,2025-10-30
A Dizija,2,0,12,0,0,16.66,2,Cyprus,Episkopi,2025-10-31
BM Pecic,2,0,4,0,0,50.0,2,Cyprus,Episkopi,2025-10-31
B Dugic,2,0,7,0,0,28.57,2,Cyprus,Episkopi,2025-10-31
SV Samson,2,0,4,0,0,50.0,1,Australia,Melbourne,2025-10-31
LA Dunbar,2,0,7,0,0,28.57,2,Cyprus,Episkopi,2025-10-31
N Zimonjic,2,0,3,0,0,66.66,2,Cyprus,Episkopi,2025-10-31
Yasar Haroon,2,0,5,0,0,40.0,1,Panama,Itaguai,2025-10-31
A Dizija,2,0,10,0,0,20.0,1,Bulgaria,Episkopi,2025-11-01
N Zimonjic,2,0,6,0,0,33.33,1,Bulgaria,Episkopi,2025-11-01
S Savkovic,2,0,2,0,0,100.0,1,Bulgaria,Episkopi,2025-11-01
Danyal Raja,2,0,3,0,0,66.66,1,Cyprus,Episkopi,2025-11-02
J Dowling,2,0,3,0,0,66.66,1,Cyprus,Episkopi,2025-11-02
K Krishnakumar,2,0,5,0,0,40.0,2,Cyprus,Episkopi,2025-11-02
Gagandeep Singh,2,0,4,0,0,50.0,2,Cyprus,Episkopi,2025-11-02
Zeerak Chughtai,2,0,5,0,0,40.0,2,Cyprus,Episkopi,2025-11-02
Isa Zaroo,2,0,7,0,0,28.57,1,Cyprus,Episkopi,2025-11-03
M Gunasekara,2,0,4,0,0,50.0,2,Bulgaria,Episkopi,2025-11-03
D Nikolov,2,0,7,0,0,28.57,1,Cyprus,Episkopi,2025-11-03
AWJ Auguste,2,0,8,0,0,25.0,1,New Zealand,Auckland,2025-11-05
KA Jamieson,2,0,3,0,0,66.66,2,West Indies,Auckland,2025-11-05
GJ Maxwell,2,0,4,0,0,50.0,2,India,Carrara,2025-11-06
Yahya Suhail,2,0,2,0,0,100.0,1,Myanmar,Bali,2025-11-07
RDS Morein,2,0,2,0,0,100.0,1,Myanmar,Bali,2025-11-07
Ahmad Ramdoni,2,0,4,0,0,50.0,1,Myanmar,Bali,2025-11-08
JDS Neesham,2,0,4,0,0,50.0,1,West Indies,Nelson,2025-11-09
MJ Hay,2,0,3,0,0,66.66,1,West Indies,Nelson,2025-11-09
SE Rutherford,2,0,4,0,0,50.0,2,New Zealand,Nelson,2025-11-09
R Powell,2,0,3,0,0,66.66,2,New Zealand,Nelson,2025-11-09
Thuya Aung,2,0,7,0,0,28.57,1,Indonesia,Bali,2025-11-11
Ahmad Ramdoni,2,0,6,0,0,33.33,2,Myanmar,Bali,2025-11-11
Arif Hosen,2,0,5,0,0,40.0,1,Indonesia,Bali,2025-11-11
Rahat Kazi,2,0,7,0,0,28.57,2,Myanmar,Bali,2025-11-12
EDS Pimheiro,2,0,11,0,0,18.18,2,Myanmar,Bali,2025-11-12
MM Baig,2,0,3,0,0,66.66,2,Hong Kong,Doha,2025-11-13
MR Kumar,2,0,10,0,0,20.0,1,Oman,Doha,2025-11-16
Sufyan Yousaf,2,0,4,0,0,50.0,2,U.A.E.,Doha,2025-11-16
T Musekiwa,2,0,3,0,0,66.66,1,Pakistan,Rawalpindi,2025-11-18
B Evans,2,0,5,0,0,40.0,1,Pakistan,Rawalpindi,2025-11-18
Ahmad Ramdoni,2,0,8,0,0,25.0,2,Bahrain,Bali,2025-11-19
J Dzulfikar,2,0,3,0,0,66.66,1,Bahrain,Bali,2025-11-21
B Evans,2,0,6,0,0,33.33,2,Pakistan,Rawalpindi,2025-11-23
C Chatphaisan,2,0,7,0,0,28.57,1,Malaysia,Kuala Lumpur,2025-11-24
P Kurup,2,0,3,0,0,66.66,1,Malaysia,Kuala Lumpur,2025-11-25
N Nuntarach,2,0,8,0,0,25.0,1,Bahrain,Kuala Lumpur,2025-11-27
Tanzid Hasan,2,0,5,0,0,40.0,2,Ireland,Chattogram,2025-11-27
MD Shanaka,2,0,7,0,0,28.57,1,Pakistan,Rawalpindi,2025-11-29
LG Moras,2,0,3,0,0,66.66,2,Argentina,Buenos Aires,2025-11-30
Muhamad Syahadat,2,0,2,0,0,100.0,1,Bahrain,Kuala Lumpur,2025-12-01
SI Runsewe,2,0,4,0,0,50.0,1,Zambia,Abuja,2025-12-04
A Gbla,2,0,5,0,0,40.0,1,Rwanda,Abuja,2025-12-04
C Bah,2,0,4,0,0,50.0,1,Rwanda,Abuja,2025-12-04
Joshua Asia,2,0,5,0,0,40.0,1,Rwanda,Abuja,2025-12-06
O Manishimwe,2,0,13,0,0,15.38,2,Nigeria,Abuja,2025-12-06
Jaikumar Thakur,2,0,8,0,0,25.0,1,Spain,Cartagena,2025-12-06
Saghar Manzoor,2,0,6,0,0,33.33,2,Spain,Cartagena,2025-12-07
A Magdalenic,2,0,5,0,0,40.0,2,Spain,Cartagena,2025-12-07
Jakir Patel,2,0,6,0,0,33.33,1,Rwanda,Abuja,2025-12-07
Salman Patel,2,0,3,0,0,66.66,1,Rwanda,Abuja,2025-12-07
A Awasthi,2,0,8,0,0,25.0,1,Spain,Cartagena,2025-12-07
A Curavic,2,0,7,0,0,28.57,1,Spain,Cartagena,2025-12-07
SI Runsewe,2,0,2,0,0,100.0,1,Zambia,Abuja,2025-12-08
VD Adewoye,2,0,3,0,0,66.66,1,Zambia,Abuja,2025-12-08
Shahnawaz Patel,2,0,3,0,0,66.66,2,Nigeria,Abuja,2025-12-08
JEA Doctora,2,0,5,0,0,40.0,2,Malaysia,Bangkok,2025-12-09
L Sipamla,2,0,5,0,0,40.0,2,India,Cuttack,2025-12-09
N Tanner,2,0,9,0,0,22.22,1,Singapore,Bangkok,2025-12-10
IP Swaney,2,0,6,0,0,33.33,2,Philippines,Bangkok,2025-12-10
J Singye,2,0,4,0,0,50.0,2,Bahrain,Gelephu,2025-12-11
O Tuyisenge,2,0,3,0,0,66.66,2,Zambia,Abuja,2025-12-11
JM Iradukunda,2,0,2,0,0,100.0,2,Zambia,Abuja,2025-12-11
Z Bimenyimana,2,0,5,0,0,40.0,2,Zambia,Abuja,2025-12-11
A Gbla,2,0,5,0,0,40.0,2,Nigeria,Abuja,2025-12-11
SH Venugopal,2,0,5,0,0,40.0,2,Indonesia,Bangkok,2025-12-12
Jakir Patel,2,0,4,0,0,50.0,2,Nigeria,Abuja,2025-12-12
Ayaz Dadabhai,2,0,6,0,0,33.33,2,Nigeria,Abuja,2025-12-12
M Yambayamba,2,0,3,0,0,66.66,2,Nigeria,Abuja,2025-12-12
Ibrahim Karim,2,0,4,0,0,50.0,2,Rwanda,Abuja,2025-12-12
Namgay Thinley,2,0,2,0,0,100.0,1,Bahrain,Gelephu,2025-12-13
Ali Rahmon,2,0,5,0,0,40.0,1,Rwanda,Abuja,2025-12-13
Ibrahim Kpaka,2,0,3,0,0,66.66,2,Zambia,Abuja,2025-12-14
D Brevis,2,0,7,0,0,28.57,1,India,Dharamsala,2025-12-14
M Jansen,2,0,7,0,0,28.57,1,India,Dharamsala,2025-12-14
IKEG Artawan,2,0,6,0,0,33.33,1,Cambodia,Bali,2025-12-23
Anjar Tadarus,2,0,6,0,0,33.33,1,Cambodia,Bali,2025-12-23
Kaung Htet Kyaw,2,0,3,0,0,66.66,1,Bhutan,Gelephu,2025-12-23
Muhammad Naeem,2,0,3,0,0,66.66,2,Indonesia,Bali,2025-12-25
Khin Aye,2,0,4,0,0,50.0,2,Bhutan,Gelephu,2025-12-26
Kaung Htet Kyaw,2,0,7,0,0,28.57,2,Bhutan,Gelephu,2025-12-26
Anjar Tadarus,2,0,3,0,0,66.66,2,Cambodia,Bali,2025-12-26
GC Murtaza,2,0,5,0,0,40.0,1,Indonesia,Bali,2025-12-27
Muhammad Naeem,2,0,9,0,0,22.22,1,Indonesia,Bali,2025-12-29
Namgay Thinley,2,0,2,0,0,100.0,1,Myanmar,Gelephu,2025-12-29
T Wangchuk,2,0,3,0,0,66.66,1,Myanmar,Gelephu,2025-12-29
Sediqullah Atal,2,0,4,0,0,50.0,1,West Indies,Dubai (DICS),2026-01-19
Q Sampson,2,0,4,0,0,50.0,2,Afghanistan,Dubai (DICS),2026-01-21
GH Dockrell,2,0,6,0,0,33.33,1,Italy,Dubai,2026-01-26
R Ravindra,2,0,4,0,0,50.0,1,India,Visakhapatnam,2026-01-28
HH Pandya,2,0,5,0,0,40.0,2,New Zealand,Visakhapatnam,2026-01-28
Basil Hameed,2,0,3,0,0,66.66,2,Ireland,Dubai (DICS),2026-01-29
R Powell,2,0,8,0,0,25.0,1,South Africa,Centurion,2026-01-29
KIC Asalanka,2,0,5,0,0,40.0,1,England,Pallekele,2026-01-30
GJ Delany,2,0,3,0,0,66.66,1,U.A.E.,Dubai (DICS),2026-01-31
Babar Azam,2,0,5,0,0,40.0,1,Australia,Lahore,2026-01-31
MT Renshaw,2,0,5,0,0,40.0,2,Pakistan,Lahore,2026-01-31
MP Kuhnemann,2,0,4,0,0,50.0,2,Pakistan,Lahore,2026-01-31
AK Markram,2,0,4,0,0,50.0,2,West Indies,Johannesburg,2026-01-31
MW Short,2,0,4,0,0,50.0,2,Pakistan,Lahore,2026-02-01
J Overton,2,0,3,0,0,66.66,1,Sri Lanka,Pallekele,2026-02-03
M Theekshana,2,0,6,0,0,33.33,2,England,Pallekele,2026-02-03
SR Mukkamalla,2,0,7,0,0,28.57,2,India,Wankhede,2026-02-07
T Banton,2,0,5,0,0,40.0,1,Nepal,Wankhede,2026-02-08
SM Curran,2,0,8,0,0,25.0,1,Nepal,Wankhede,2026-02-08
G Stewart,2,0,6,0,0,33.33,2,Scotland,Eden Gardens,2026-02-09
TJ Draca,2,0,5,0,0,40.0,2,Scotland,Eden Gardens,2026-02-09
H Kaushik,2,0,6,0,0,33.33,1,New Zealand,Chennai,2026-02-10
Rizwan Butt,2,0,5,0,0,40.0,1,Qatar,Doha,2026-02-10
BF Calitz,2,0,4,0,0,50.0,2,Australia,Colombo (RPS),2026-02-11
BJ McCarthy,2,0,4,0,0,50.0,2,Australia,Colombo (RPS),2026-02-11
Shahzeb Afridi,2,0,2,0,0,100.0,1,Bahrain,Doha,2026-02-11
T Banton,2,0,4,0,0,50.0,2,West Indies,Wankhede,2026-02-11
WG Jacks,2,0,3,0,0,66.66,2,West Indies,Wankhede,2026-02-11
Nadeem Khan,2,0,3,0,0,66.66,2,Sri Lanka,Pallekele,2026-02-12
Arshdeep Singh,2,0,2,0,0,100.0,1,Namibia,Delhi,2026-02-12
A Zampa,2,0,2,0,0,100.0,2,Zimbabwe,Colombo (RPS),2026-02-13
LV van Beek,2,0,5,0,0,40.0,2,U.S.A.,Chennai,2026-02-13
MRJ Watt,2,0,4,0,0,50.0,1,England,Eden Gardens,2026-02-14
BTJ Wheal,2,0,3,0,0,66.66,1,England,Eden Gardens,2026-02-14
BJ Currie,2,0,5,0,0,40.0,1,England,Eden Gardens,2026-02-14
PD Salt,2,0,3,0,0,66.66,2,Scotland,Eden Gardens,2026-02-14
Aarif Sheikh,2,0,8,0,0,25.0,1,West Indies,Wankhede,2026-02-15
M Campopiano,2,0,6,0,0,33.33,2,England,Eden Gardens,2026-02-16
NR Kirton,2,0,3,0,0,66.66,1,New Zealand,Chennai,2026-02-17
J Mosca,2,0,5,0,0,40.0,2,West Indies,Eden Gardens,2026-02-19
S Movva,2,0,6,0,0,33.33,2,Afghanistan,Chennai,2026-02-19
Mohammad Nadeem,2,0,3,0,0,66.66,1,Australia,Pallekele,2026-02-20
M Jansen,2,0,6,0,0,33.33,1,India,Ahmedabad,2026-02-22
Shaheen Shah Afridi,2,0,3,0,0,66.66,1,England,Pallekele,2026-02-24
JC Buttler,2,0,3,0,0,66.66,2,Pakistan,Pallekele,2026-02-24
T Banton,2,0,6,0,0,33.33,2,Pakistan,Pallekele,2026-02-24
Babar Hayat,2,0,3,0,0,66.66,2,Kuwait,Mong Kok,2026-02-25
Tenjin Rabgey,2,0,3,0,0,66.66,1,Bahrain,Bangkok,2026-02-25
T Jamtsho,2,0,5,0,0,40.0,2,Thailand,Bangkok,2026-02-26
Nizakat Khan,2,0,3,0,0,66.66,1,Kuwait,Mong Kok,2026-02-26
Ehsan Khan,2,0,3,0,0,66.66,1,Kuwait,Mong Kok,2026-02-26
SO Hetmyer,2,0,3,0,0,66.66,1,South Africa,Ahmedabad,2026-02-26
RL Chase,2,0,2,0,0,100.0,1,South Africa,Ahmedabad,2026-02-26
S Ravichandran,2,0,7,0,0,28.57,1,Bhutan,Bangkok,2026-02-27
PD Salt,2,0,4,0,0,50.0,2,New Zealand,Colombo (RPS),2026-02-27
Abdul Majid,2,0,8,0,0,25.0,2,Japan,Bangkok,2026-02-28
Khawaja Nafay,2,0,3,0,0,66.66,1,Sri Lanka,Pallekele,2026-02-28
T Munyonga,2,0,5,0,0,40.0,1,South Africa,Delhi,2026-03-01
C Bosch,2,0,3,0,0,66.66,1,New Zealand,Eden Gardens,2026-03-04
TS Mills,1,1,1,0,0,100.0,2,West Indies,Bridgetown,2022-01-26
BJ McCarthy,1,1,1,0,0,100.0,1,Nepal,Al Amerat,2022-02-14
JK Mukhiya,1,1,2,0,0,50.0,2,Ireland,Al Amerat,2022-02-14
HV Patel,1,1,1,0,0,100.0,1,West Indies,Eden Gardens,2022-02-18
C Karunaratne,1,1,1,0,0,100.0,2,Australia,Melbourne,2022-02-20
Huzaifa Mohammed,1,1,2,0,0,50.0,1,Oman,Al Amerat,2022-02-21
R Goodwin,1,1,2,0,0,50.0,2,Bahrain,Al Amerat,2022-02-22
Hamza Tariq,1,1,1,0,0,100.0,2,Germany,Al Amerat,2022-02-22
A Bohara,1,1,1,0,0,100.0,2,U.A.E.,Al Amerat,2022-02-22
Bilal Khan,1,1,2,0,0,50.0,2,Ireland,Al Amerat,2022-02-22
S Lamichhane,1,1,2,0,0,50.0,1,P.N.G.,Kirtipur,2022-03-28
Pavandeep Singh,1,1,1,0,0,100.0,1,Nepal,Kirtipur,2022-03-30
BM Scholtz,1,1,1,0,0,100.0,1,Uganda,Windhoek,2022-04-10
Mohammad Kamran,1,1,3,0,0,33.33,1,Norway,Almeria,2022-04-30
Abdullah Sheikh,1,1,4,0,0,25.0,1,Guernsey,Almeria,2022-04-30
C Rumistrzewicz,1,1,1,0,0,100.0,1,Norway,Almeria,2022-05-01
M Brasier,1,1,3,0,0,33.33,2,Denmark,Brondby,2022-05-08
AG Weligamage,1,1,1,0,0,100.0,2,Gibraltar,Marsa,2022-05-10
DV Varghese,1,1,1,0,0,100.0,2,Czech Rep.,Marsa,2022-05-12
S Periyalwar,1,1,6,0,0,16.66,1,Czech Rep.,Marsa,2022-05-13
V Saini,1,1,1,0,0,100.0,2,Bulgaria,Marsa,2022-05-13
S Bodha,1,1,1,0,0,100.0,1,Bulgaria,Marsa,2022-05-15
R Trumpelmann,1,1,1,0,0,100.0,2,Zimbabwe,Bulawayo,2022-05-17
C Brennan,1,1,1,0,0,100.0,1,Guernsey,Castel,2022-05-21
BP Adapaka,1,1,7,0,0,14.28,2,Austria,Lower Austria,2022-06-04
A Nathwani,1,1,2,0,0,50.0,1,Hungary,Lower Austria,2022-06-05
SA Mohandas,1,1,1,0,0,100.0,2,Austria,Lower Austria,2022-06-05
M Theekshana,1,1,1,0,0,100.0,1,Australia,Colombo (RPS),2022-06-08
KD Karthik,1,1,2,0,0,50.0,1,South Africa,Delhi,2022-06-09
J Shaju,1,1,1,0,0,100.0,2,Belgium,Gent,2022-06-11
Jaison Jerome,1,1,8,0,0,12.5,2,Belgium,Waterloo,2022-06-12
LM Jongwe,1,1,1,0,0,100.0,2,Afghanistan,Harare,2022-06-12
DT Tiripano,1,1,1,0,0,100.0,2,Afghanistan,Harare,2022-06-12
HV Patel,1,1,1,0,0,100.0,1,South Africa,Rajkot,2022-06-17
MB Tambe,1,1,1,0,0,100.0,1,Estonia,Kerava,2022-06-19
RR Pant,1,1,1,0,0,100.0,1,South Africa,Bengaluru,2022-06-19
ML Kostic,1,1,1,0,0,100.0,1,Bulgaria,Sofia,2022-06-26
Siraj Ullah Khadem,1,1,1,0,0,100.0,1,Israel,Waterloo,2022-06-28
B Kumar,1,1,1,0,0,100.0,1,Ireland,Dublin (Malahide),2022-06-28
Syed Maisam Ali,1,1,1,0,0,100.0,1,Malta,Gent,2022-06-29
BP Adapaka,1,1,1,0,0,100.0,1,Belgium,Waterloo,2022-06-29
T Kahamker,1,1,1,0,0,100.0,1,Spain,Gent,2022-06-29
Saud Munir,1,1,2,0,0,50.0,2,Belgium,Waterloo,2022-07-01
Manoj Adhikari,1,1,3,0,0,33.33,2,Malaysia,Bangi,2022-07-03
Zulqarnain Haider,1,1,3,0,0,33.33,1,Belgium,Waterloo,2022-07-04
Ibrahim Rizan,1,1,2,0,0,50.0,1,Malaysia,Bangi,2022-07-06
Ibrahim Rizan,1,1,2,0,0,50.0,2,Bhutan,Bangi,2022-07-07
B Kumar,1,1,1,0,0,100.0,1,England,Southampton,2022-07-07
J Albin,1,1,4,0,0,25.0,1,Serbia,Belgrade,2022-07-08
I Katzarski,1,1,1,0,0,100.0,1,Serbia,Belgrade,2022-07-08
Ameel Mauroof,1,1,3,0,0,33.33,2,Malaysia,Bangi,2022-07-09
Naveed Ahmed,1,1,3,0,0,33.33,1,Austria,Vinor,2022-07-09
