Player,Runs,Not_Out,BF,Fours,Sixes,SR,Inns,Opposition,Ground,Start_Date
Mohammad Ihsan,102,1,59,9,6,172.88,1,Isle of Man,Cartagena,2023-02-24
R Sandaruwan,102,1,48,9,7,212.5,2,Hong Kong,Kuala Lumpur,2024-08-27
SD Hope,102,1,57,8,6,178.94,1,Australia,Basseterre,2025-07-25
TH David,102,1,37,6,11,275.67,2,West Indies,Basseterre,2025-07-25
M Coetzee,102,0,63,11,4,161.9,1,Qatar,Doha,2024-02-29
Imran Asif,102,0,65,8,8,156.92,1,Belgium,Lower Austria,2024-05-26
BM Pecic,102,0,42,7,10,242.85,2,Slovenia,Belgrade,2025-06-07
SR Taylor,101,1,55,12,5,183.63,2,Jersey,Bulawayo,2022-07-11
Babar Azam,101,1,58,11,3,174.13,1,New Zealand,Lahore,2023-04-15
G Mckeon,101,0,53,5,8,190.56,1,Norway,Kerava,2022-07-27
FH Allen,101,0,56,8,6,180.35,1,Scotland,Edinburgh,2022-07-27
KJ Stagno,101,0,49,8,7,206.12,1,Luxembourg,Gibraltar,2023-10-15
JN Loftie-Eaton,101,0,36,11,8,280.55,1,Nepal,Kirtipur,2024-02-27
V Balakrishnan,101,0,66,12,2,153.03,1,Eswatini,Abuja,2024-11-23
Faisal Khan,101,0,42,6,10,240.47,2,Cambodia,Doha,2024-11-25
MDKJ Perera,101,0,46,13,4,219.56,1,New Zealand,Nelson,2025-01-02
AS Samra,101,0,51,5,10,198.03,2,Indonesia,Bali,2025-07-10
M Podosky,101,0,49,9,7,206.12,1,South Korea,Bali,2025-07-10
Zeeshan Ali,101,0,58,14,4,174.13,1,Malaysia,Singapore,2025-07-18
MG Erasmus,100,1,47,9,7,212.76,1,Uganda,Windhoek,2022-04-09
RR Rossouw,100,1,48,7,8,208.33,1,India,Indore,2022-10-04
S Ssesazi,100,1,58,13,2,172.41,1,Tanzania,Rwanda,2022-12-22
AE Paraam,100,1,62,11,2,161.29,1,Philippines,Phnom Penh,2023-05-03
SR Mukkamalla,100,1,48,7,7,208.33,2,Oman,Al Amerat,2025-02-20
Walid Ghauri,100,1,48,10,7,208.33,2,Denmark,Koge,2025-06-14
Anshuman Rath,100,1,59,15,1,169.49,1,Singapore,Singapore,2025-07-20
Asif Ali,100,1,55,5,9,181.81,1,Rwanda,Rwanda,2025-07-22
P Nissanka,100,1,52,10,5,192.3,2,Australia,Pallekele,2026-02-16
Sahibzada Farhan,100,1,58,11,4,172.41,1,Namibia,Colombo (SSC),2026-02-18
FH Allen,100,1,33,10,8,303.03,2,South Africa,Eden Gardens,2026-03-04
S Chandramohan,100,0,52,7,7,192.3,1,P.N.G.,Singapore,2022-07-03
V Balakrishnan,100,0,70,7,5,142.85,1,St Helena,Rwanda,2022-11-25
N Nipiko,100,0,49,8,9,204.08,1,Fiji,Suva,2023-03-16
Q de Kock,100,0,44,9,8,227.27,2,West Indies,Centurion,2023-03-26
YBK Jaiswal,100,0,49,8,7,204.08,1,Nepal,Hangzhou,2023-10-03
SA Yadav,100,0,56,7,8,178.57,1,South Africa,Johannesburg,2023-12-14
Rahmanullah Gurbaz,100,0,52,7,7,192.3,1,U.A.E.,Sharjah,2023-12-29
Muhammad Waseem,100,0,56,6,7,178.57,1,Oman,Al Amerat,2024-04-21
Abhishek Sharma,100,0,47,7,8,212.76,1,Zimbabwe,Harare,2024-07-07
HAM Shah,100,0,58,10,4,172.41,1,Czech Rep.,Castel,2024-08-21
GR Adair,100,0,58,5,9,172.41,1,South Africa,Abu Dhabi,2024-09-29
Parvez Hossain Emon,100,0,54,5,9,185.18,1,U.A.E.,Sharjah,2025-05-17
Namgay Thinley,100,0,47,10,7,212.76,1,Myanmar,Gelephu,2025-12-24
HC Brook,100,0,51,10,4,196.07,2,Pakistan,Pallekele,2026-02-24
Sahibzada Farhan,100,0,60,9,5,166.66,1,Sri Lanka,Pallekele,2026-02-28
L Bruce,99,1,63,11,2,157.14,1,Bulgaria,Marsa,2022-05-13
Omar Rassol,99,1,56,9,7,176.78,1,Serbia,Belgrade,2022-07-09
R Satheesan,99,1,69,10,6,143.47,2,Malta,Ilfov County,2023-08-20
HAM Shah,99,0,68,6,4,145.58,1,Finland,Brondby,2022-05-08
Abdul Waheed,99,0,58,9,6,170.68,1,Cambodia,Bangkok,2024-02-01
SA Edwards,99,0,55,7,5,180.0,1,Oman,Al Amerat,2024-11-14
S Davizi,98,1,61,13,3,160.65,1,Gibraltar,Marsa,2022-05-11
Riazat Ali Shah,98,1,53,5,6,184.9,2,Tanzania,Benoni,2022-09-22
Mohammad Rizwan,98,1,62,7,4,158.06,1,New Zealand,Rawalpindi,2023-04-24
Zeeshan Khan,98,1,58,15,2,168.96,1,Romania,Marsa,2023-07-14
Saim Ayub,98,1,57,11,5,171.92,1,South Africa,Centurion,2024-12-13
P Nissanka,98,1,58,11,4,168.96,2,Zimbabwe,Rawalpindi,2025-11-25
KS Leverock,98,0,59,5,7,166.1,1,Cayman,Hamilton,2023-10-03
